label,metaGroupId,groupId,goodPeakCount,medMz,medRt,maxQuality,note,compound,compoundId,expectedRtDiff,ppmDiff,parent,20171201_blank_mid_a_pos,20171201_blank_mid_b_pos,20171201_blank_pre_a_pos,20171201_blank_pre_b_pos,20171201_blank_pre_c_pos,20171201_buffer_pellet_a_pos,20171201_buffer_pellet_b_pos,20171201_non_pellet_a_pos,20171201_non_pellet_b_pos,20171201_activated_pellet_b_pos,20171201_activated_pellet_a_pos,20171201_hsd1_pellet_a_pos,20171201_hsd1_pellet_b_pos,20171201_hsd2_pellet_a_pos,20171201_hsd2_pellet_b_pos
,0,5,1,825.6528,8.174196,0.8076723,C12 PARENT,CE_Na(30:9),CE_Na(30:9),-1,1.03493,825.6531,0,0,0,0,0,0,0,4180.071,2060.744,2541.662,17077.46,17658.09,6821.879,2630.71,11927.58
,0,4,8,662.5843,9.12957,0.8516428,C12 PARENT,CE_NH4(18:4),CE_NH4(18:4),-1,4.14524,662.5842,1622.583,0,0,0,0,17515.79,150617.4,81467.25,138006.3,42875.5,76154.79,115810.8,102966.4,172758.1,127313.6
,0,3,7,690.6155,9.599242,0.8514091,C12 PARENT,CE_NH4(20:4),CE_NH4(20:4),-1,4.065367,690.6157,0,0,22269.15,0,0,1869.565,1713.788,60372.59,121883.9,56944.83,113165.8,191245.2,181718.1,66088.1,102395.2
,0,2,8,688.6,9.442396,0.8526692,C12 PARENT,CE_NH4(20:5),CE_NH4(20:5),-1,3.988631,688.5999,0,0,0,0,0,5449.99,12866.14,108490.7,210036.5,101431.1,134312.4,229365.2,296515.2,154417,180534.4
,0,1,7,686.5842,8.979472,0.8512812,C12 PARENT,CE_NH4(20:6),CE_NH4(20:6),-1,4.089237,686.5842,0,0,0,0,0,0,0,19831.39,39881.12,22698.67,40139.84,70534.12,74569.07,34231,43143.98
,0,80,7,641.5107,8.091806,0.8490301,C12 PARENT,DG_Na(36:3),DG_Na(36:3),-1,1.331998,641.5107,1726.459,0,0,1433.652,1476.99,3137.284,2288.698,14638.72,12208.48,12812.68,12135.27,21729.25,19314.28,17250.3,26318.02
,0,79,12,696.6492,7.430996,0.8507772,C12 PARENT,DG_NH4(40:1),DG_NH4(40:1),-1,1.138961,696.6493,18390.73,13868.11,0,6954.568,15457.23,23634.59,27482.96,81683.21,71828.65,24431.98,17821.45,30227.66,32385.31,36583.49,44728.27
,0,78,7,706.5378,6.70566,0.8452933,C12 PARENT,DG_NH4(42:10),DG_NH4(42:10),-1,3.800981,706.538,0,0,0,0,0,9975.793,0,13202.66,34499.21,6559.611,34373.07,35979.82,38811.46,18054.05,19276.88
,0,77,9,734.5688,7.254092,0.8531268,C12 PARENT,DG_NH4(44:10),DG_NH4(44:10),-1,4.071383,734.5688,0,0,0,0,0,25615.87,1186.135,589669,930445.8,407519.2,1436951,1317200,1577383,700013.7,781481.1
,0,76,9,732.5531,6.801311,0.8517027,C12 PARENT,DG_NH4(44:11),DG_NH4(44:11),-1,4.165903,732.5532,0,0,0,0,0,43627.08,0,21147.23,89922.73,33394.54,122195.8,117888.1,119231.6,66743.64,64376.47
