label,metaGroupId,groupId,goodPeakCount,medMz,medRt,maxQuality,note,compound,compoundId,expectedRtDiff,ppmDiff,parent,20171201_activated_supe_a_pos,20171201_activated_supe_b_pos,20171201_blank_mid_a_pos,20171201_blank_mid_b_pos,20171201_blank_post_a_pos,20171201_blank_post_b_pos,20171201_buffer_supe_a_pos,20171201_buffer_supe_b_pos,20171201_hsd1_supe_a_pos,20171201_hsd1_supe_b_pos,20171201_hsd2_supe_a_pos,20171201_hsd2_supe_b_pos,20171201_non_pellet_a_pos_repeat,20171201_non_pellet_b_pos_1_4_dil,20171201_non_supe_a_pos,20171201_non_supe_b_pos
,0,1,9, 300.2894,4.350442,0.7859616,C12 PARENT,Sphingosine(d18:1),Sphingosine(d18:1),-1,1.016271,300.2895,23677.49,13403,1778.117,596.2829,858.2607,611.8417,5048.368,7615.379,101129.9,84442.78,38669.63,42413.77,0,0,9336.952,11793.53
,0,2,4, 314.3048,4.739403,0.7843693,C12 PARENT,Sphingosine-monomethyl(d18:1),Sphingosine-monomethyl(d18:1),-1,1.844811,314.3048,15656.41,2405.779,845.8884,923.7275,1177.914,882.7549,2763.481,4296.225,48712.88,48253.07,18481.13,23142.69,0,0,1219.626,1340.214
,0,3,7, 328.3203,5.200027,0.836574,C12 PARENT,Sphingosine-dimethyl(d18:1),Sphingosine-dimethyl(d18:1),-1,2.044909,328.3204,36717.72,9210.188,0,8388.71,0,10894.64,9496.304,1589.629,424959,356495.9,138025.8,125287.3,0,0,3659.665,8799.063
,0,4,14, 302.3049,1.441221,0.8538336,C12 PARENT,Sphingosine-dihydro(d18:0)(Safingol),Sphingosine-dihydro(d18:0)(Safingol),-1,1.413293,302.3049,1005981,941956.9,46942.78,51336.43,49842,59176.12,410516.1,500949.1,1538202,1131542,1873282,2138990,0,0,156714.3,121990.7
,0,5,10, 284.2944,5.379946,0.7964741,C12 PARENT,Sphingosine-3-deoxy(m18:1),Sphingosine-3-deoxy(m18:1),-1,1.502828,284.2943,245693,168915.9,59857.43,59515.75,67301.41,61188.8,133474.3,103530.9,684816.1,644969.8,657159.6,706864.1,0,0,692570.9,1033146
,0,6,9, 650.6442,9.440161,0.8510607,C12 PARENT,Sphingosine(24:0)/sphinganine(24:1),Sphingosine(24:0)/sphinganine(24:1),-1,0.6566505,650.6442,30651.6,37898.26,0,0,0,0,26455.44,3989.814,74915.77,53331.64,64218.45,60299.12,0,0,41215.97,25458.1
,0,7,3, 835.6664,8.292317,0.8481663,C12 PARENT,SM(d18:1/26:4),SM(d18:1/26:4),-1,2.775425,835.6664,2450.999,2981.426,0,0,0,0,0,2118.404,30664.47,21292.14,20987.72,34871.89,0,0,8214.757,2920.697
,0,8,4, 837.6818,8.836666,0.8472753,C12 PARENT,SM(d18:1/26:3),SM(d18:1/26:3),-1,3.060194,837.6824,2818.814,2505.546,0,0,0,0,0,2249.708,31509.48,26657.97,26619.43,18291.37,0,0,2554.927,2693.813
,0,9,1, 807.6344,7.840825,0.7076386,C12 PARENT,SM(d18:1/24:4),SM(d18:1/24:4),-1,3.778623,807.6344,0,0,0,0,0,0,0,0,5602.517,5356.415,2137.152,2241.125,0,0,0,0
,0,10,4, 809.6506,8.318733,0.8483579,C12 PARENT,SM(d18:1/24:3),SM(d18:1/24:3),-1,3.090758,809.6505,0,3059.948,0,0,0,0,2214.429,0,61456.56,55126.31,27935.94,17290.97,0,0,5484.913,2284.714
,0,11,9, 813.6835,8.30847,0.8516864,C12 PARENT,SM(d18:1/24:1),SM(d18:1/24:1),-1,1.050152,813.6835,30306.24,42139.98,0,0,0,0,9202.571,20238.89,198145.4,173893.8,124920.5,126849.2,0,0,48830.06,27603.93
,0,12,0, 781.619,7.820208,0.1904476,C12 PARENT,SM(d18:1/22:3),SM(d18:1/22:3),-1,3.59204,781.619,0,0,0,0,0,0,0,0,5628.053,6806.873,10517.22,5077.888,0,0,0,0
